Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Marketing Coordinator,$8-$14 Per Hour(Glassdoor est.),"Job Description
MetroNet has an immediate opening for an energetic; Marketing Coordinator in Ames, IA!

At MetroNet, we pride ourselves on providing cutting-edge technology combined with outstanding customer care. We are a fast-growing telecommunication company, offering 100% fiber-optic technology. MetroNet specializes in fiber to the premise TV, voice and internet services that provide our customers with some of the fastest internet speeds in the world. Recognized for being one of the Best Places to Work in 2020 by Glassdoor. We are committed to revolutionizing the industry by enhancing the overall customer experience and optimizing the talent of our valued associates.

We’re looking for tech-savvy, innovative thinkers to join our team and help us create what’s next!

What is in it for you?
Competitive salary
80% of Medical premiums paid for by company
Company paid Disability and Life insurance
401(k) company match and 100% vested on day 1
Discounted MetroNet service in our serviceable area
Locally owned, friendly, fun atmosphere
Job Summary:

The Marketing Coordinator is responsible for developing and executing local marketing campaigns in assigned markets to gain and retain new and existing customers. Collaborates with key cross functional teams and outside vendors to support campaigns. Monitors market trends, competitive intelligence, and analyzes campaign results to recommend enhancements of local marketing strategies.

What you will be doing:
Identifies, coordinates and executes strategic market level campaigns including but not limited to events, sponsorships, partnerships, community involvement, experiential marketing, and guerilla marketing
Creates and executes go-to market campaigns for multi-dwelling unit properties and homeowner associations
Identifies and negotiates MDU/HOA Referral and Community Affiliate program partnerships
Manages campaign logistics including but not limited to deadlines, payments, assets, staffing, and results tracking
Provides ongoing market monitoring and feedback: market insights, customer contact, and associate engagement
Researches and compiles competitive intelligence to identify key concerns and opportunities
Manages on-going compliance with assigned expense budgets and adheres to purchase request and expense reporting guidelines
Provides tracking, analysis, reporting, and commentary on local marketing campaigns.
Communicates daily, weekly, monthly on local marketing campaigns and initiatives through reports and scorecards
Collaborates with cross functional teams in aligning efforts, resources and budget allocations.
Identifies and coordinates PR opportunities to support local campaign initiatives
Provides excellent internal customer service and maintains open communication with all associates, management and contractors
Maintains inventory of all local marketing assets
Performs other duties as assigned
What You Need For This Position:
Bachelor’s Degree in Marketing, Advertising, Communications, or Sales
2+ years Marketing or equivalent experience required
Previous Cable TV, Internet, or Telecommunications industry experience preferred
Event Planning/Management, Fundraising, Experiential Marketing, Guerilla Marketing, or Sales experience a plus
Highly organized, self-motivated and strong attention to detail
Demonstrated project management and organizational skills; proven ability to manage multiple projects and priorities with excellent follow-through
Strategic thinker who can articulate objectives into actionable campaigns that produce results
Excellent written and oral communication skills
Ability to work in a fast-paced, evolving, collaborative environment
Solid interpersonal skills with a high level of professionalism; in-person, phone and email
Proficient using the latest versions of Microsoft Word, Excel, PowerPoint, Internet software, email and database software
If you have a strong desire to impact, the success of our organization by ensuring we continue to attract and retain committed professionals, please apply today!

MetroNet is an EQUAL OPPORTUNITY EMPLOYER
Company Description
Headquartered in Evansville, Indiana, MetroNet is a customer-focused company providing cutting-edge fiber optic telecommunication services, including high-speed Fiber Internet, full-featured Fiber Phone, Fiber IPTV with a wide variety of programming, and a home security product called MetroNet SmartHome.

We got our start in 2005, with our first fiber optic network in Greencastle, Indiana, and have since expanded into 50+ communities throughout Indiana, Illinois, and Kentucky. All MetroNet services are delivered across our 100% fiber-optic network made up of thousands of miles of fiber optic cables connected directly to homes and businesses.

At MetroNet, we are committed to bringing state-of-the-art telecommunication services to the communities we serve by delivering services comparable or superior to those offered in large metropolitan areas. This commitment not only means better internet, television and telephone options for our customers today but also the capacity to continually provide additional products and services in the future as new uses for 100% fiber are developed.

Our commitment to our communities doesn’t stop at bringing exciting new technology. We’re also proud to have local retail stores, staffed with friendly associates and technicians who actually live in the communities we serve. We find it is always reassuring to see a familiar face when your services are installed or when you stop by our store. Our innovative store design allows customers to test drive MetroNet products at interactive kiosks, sign up for services, pay their bills, and much more.",4.6,"MetroNet
4.6","Ames, IA","Evansville, IN",501 to 1000 employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable,"Comcast, NewWave Communications"
Events Coordinator/Home Improvement,$8-$14 Per Hour(Glassdoor est.),"Marketing Events Coordinator

Retro Bath Makeover of North Jersey is one of the fastest growing brands in the acrylic bath remodeling industry. We are looking for quality people to join our winning team. Our goal is simple, to beautify bathrooms across North America by manufacturing and installing attractive, durable and maintenance-free bath remodeling fixtures. Thereby, we enrich the lives of those we touch.

We are looking to hire an experienced Marketing Events Coordinator in the Summit, New Jersey market.

Job Description:
Research and find Events and Shows within our assigned territory
Negotiate Contracts with the Event Vendors
Book an annual calendar of Events and Shows
Recruit, hire and train Event Demonstrators
Schedule Demonstrators to work Events
Coordinate booth and display set-up and tear down
Set appointments for a Free In-Home Consultation at the Events and Shows
Collect Contest Entries
Follow up on the Contest Entries and schedule them for a Free In-Home Consultation
Measure and report results
Qualifications:
Home Improvement Background
Strong communications skills
Positive, outgoing personality
Strong planning and organizational skills
Ability to coach, train and motivate others
Ability to work in a fast-paced environment
Ability to stand for long periods of time
Ability to lift 30 pounds
Must be available to work weekends
We have an excellent compensation package for this position that includes a salary and bonus opportunities.

Powered by JazzHR",4.9,"BCI Acrylic
4.9","Summit, NJ","Libertyville, IL",51 to 200 employees,1999,Company - Private,Construction,"Construction, Repair & Maintenance",$25 to $50 million (USD),-1
Mobility Sales Representative Positions Available,$8-$14 Per Hour(Glassdoor est.),"Job Description
We are an innovative company that is transforming the sales industry. We were founded by dedicated people looking to push the envelope by using cost-effective marketing campaigns and sales strategies.

Our goal is to provide the same marketing as the standard firm but at a fraction of the price. Our rapid success and rapid growth has set new business standards.

* We provide customers with the everyday value and uncompromising customer service that has made us so successful.

We are now accepting applications for Marketing / Sales Representatives and Entry-Level Managers to grow with our business. Be part of an exciting, fun working environment while helping to develop the Richmond market.

* We are actively seeking Entry Level Professionals for our Sales Team! These are competitive positions that start on the ground floor but offer rapid advancement towards a management role!!

* Since we consider ourselves an up and coming leader in the area, we are looking for fast paced, high energy, competitive minded professionals to cross train in all areas.

Marketing and Sales Advertising

Public Relations

Entry Level Management

Customer Service Promotions

Qualifications

**No Experience Needed**

We Prefer to Train and Develop our Employees for Maximum Performance!!!

We are seeking individuals with LEADERSHIP qualities, great COMMUNICATION skills, people that excel through competition and have a drive for SUCCESS.

The main job responsibility is to aid our Marketing Representatives, Sales Associates, and Senior Staff in specific projects related to our clients.

- Ability to start right away

- High School degree or higher

- Great Communication skills

- Ability to work cooperatively as part of a team

- Interact with customers to provide top notch service

- Upbeat, energetic, positive personality

Don’t miss this phenomenal opportunity to earn an unlimited income!!!

- Apply - Please submit your RESUME for further review.

This Position is W-2, NOT 1099!

No Door to Door Sales No Telemarketing Sales No Business to Business Sales
Company Description
Who is Opus?

We are a collective of innovative minds who are always looking to be on top of market changes. We use research-based, experiential marketing to create brand-awareness, consumer loyalty, as well as produce customized campaigns that boost acquisitions, while our clients focus on their core expertise.

Our Vision:

Our goal and vision is to elicit return business for our clients, growth for our company, and professional advancement for our team by embracing the creativity and teamwork necessary to help clients branch out into new markets.

All of this is possible with Opus due to the development of expert marketing managers who are efficient with clients and consumer acquisitions, and who build long-lasting relationships, which result in growth for our clients.

Opus is an in-store marketing company that represents leaders in home entertainment, inside some of the largest retailers in the world.

Likewise, we are passionate about delivering quality and results, for both our customers and clients.

We value teamwork within our agency and strive for great partnerships across all platforms.",3.8,"Opus Inc
3.8","Richmond, VA","Richmond, VA",1 to 50 employees,-1,Private Practice / Firm,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
Digital Design Internship - Summer 2020,$8-$14 Per Hour(Glassdoor est.),"Summer 2020 (June - August) Digital Design Internship

Are you a hyper creative design student, interested in brand pop-ups, interactive digital experiences, consumer events and mobile tours? Ever wondered who is creating one-of-a-kind experiential events? Then, TH Experiential is looking for people like you! We are seeking hardworking, creative individuals who have a strong eye for digital design and a possess a genuine interest in Events + Marketing. This is a multi-faceted opportunity where you will work closely with our Design and Creative Strategy teams, as well as the rest of our company to help bring our events to life. Looking for enthusiastic candidates who are available to start in early June 2020.

A little bit about TH

Here at TH Experiential, we offer full service experiential live and digital event production based in New York City. We specialize in developing non-traditional, custom campaigns based on the objectives of our clients. How do we do it? Through advocacy building campaign concepts, and a holistic 360-degree approach in everything we do. From large-scale activations to events, mobile tours, installations and sampling-driving consumer engagement and brand loyalty is at the heart of everything we produce.

The goal at TH is to be the ultimate resource for our clients, providing insight, ideation and superior execution while creating authentically shareable experiences that position brands as innovators in their respective fields.

www.THExperiential.com

What you'll be doing
Combine your creativity and technical skills to produce digital graphics and animations for virtual event concepts
Creating 2D and/or 3D Graphics
Concepting and implementing interactive design
Work with artists and illustrators in the conceptualization phase to produce mock-ups and proof of concepts
Assist in the production of wireframes, prototypes, concept sketches, interaction designs and user flows using key tools such as Omnigraffle and Microsoft Visio
Help to create clean and simple user-centred designs
Create prototypes and wireframes
Intern alongside the creative team to design and create graphics, environments and experiences
Contributing to creative brainstorms to develop and deliver amazing experiences
Learn about the entire production process and how they're implemented
Participate in awesome, one of a kind events
Work alongside industry professionals
We are looking for individuals who have:
Immediate availability for at least 4-5 days per week
Creative design thinking and a user-centric mindset
Understanding of interaction design principles
Knowledge of industry tools such as Sketch, InVision, Adobe InDesign, Illustrator, Zeplin and OmniGraffle; proficiency in Adobe Creative Suite strongly preferred
Business know-how: Understanding of business metrics and the ability to translate company goals and objectives into digital experiences
An interest in Graphic and Environmental Design and Experiential Activations
A desire to meet and achieve goals in a resourceful independent manner
Ability to build relationships with senior level professionals
Ability to work hands on and assist where needed
Must have clear and concise communication skills
An interest in event production / experiential marketing
The ability to work well under pressure in a fast-paced environment
Excellent communication, interpersonal and presentation skills
Effective problem solving, time management and organization skills
Intellectual curiosity
Relevant work and/or internship experience are a plus
3D design or experience with interactive technologies is a plus
What can TH Experiential offer you?
An opportunity to learn from the best what the industry has to offer with the potential for a full-time position after the internship is over
Mentoring program under talented & seasoned Operations, Design Team, + Production professionals
Daily lunch reimbursement and a monthly unlimited MetroCard (must intern at least 3 days per week to receive MetroCard)
Participate in culture events at the office including field trips to relevant design/art events
A dog-friendly workplace
Please note that this is an unpaid opportunity.",3.0,"TH Experiential
3.0","New York, NY","New York, NY",1 to 50 employees,-1,Company - Public,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1
Interactive/Game Design Internship - Summer 2020,$8-$14 Per Hour(Glassdoor est.),"Summer 2020 (June - August) Interactive Design Internship

Are you a hyper creative design student, interested in brand pop-ups, interactive digital experiences, consumer events and mobile tours? Ever wondered who is creating one-of-a-kind experiential events? Then, TH Experiential is looking for people like you! We are seeking hardworking, creative individuals who want to apply their game/interactive design skills to innovate in the virtual event and digital experiential space. This is a multi-faceted opportunity where you will work closely with our Design and Creative Strategy teams, as well as the rest of our company to help bring our events to life. Looking for enthusiastic candidates who are available to start in early June 2020.

A little bit about TH

Here at TH Experiential, we offer full service experiential live and digital event production based in New York City. We specialize in developing non-traditional, custom campaigns based on the objectives of our clients. How do we do it? Through advocacy building campaign concepts, and a holistic 360-degree approach in everything we do. From large-scale activations to events, mobile tours, installations and sampling-driving consumer engagement and brand loyalty is at the heart of everything we produce.

The goal at TH is to be the ultimate resource for our clients, providing insight, ideation and superior execution while creating authentically shareable experiences that position brands as innovators in their respective fields.

www.THExperiential.com

What you'll be doing
Combine your creativity and technical skills to produce digital graphics and animations for virtual event concepts
Creating 2D and/or 3D Graphics
Concepting and implementing interactive design
Work with artists and illustrators in the conceptualization phase to produce mock-ups and proof of concepts
Assist in the production of wireframes, prototypes, concept sketches, interaction designs and user flows using key tools such as Omnigraffle and Microsoft Visio
Help to create clean and simple user-centred designs
Create prototypes and wireframes
Intern alongside the creative team to design and create graphics, environments and experiences
Contributing to creative brainstorms to develop and deliver amazing experiences
Learn about the entire production process and how they're implemented
Participate in awesome, one of a kind events
Work alongside industry professionals
We are looking for individuals who have:
Immediate availability for at least 4-5 days per week
Creative design thinking and a user-centric mindset
Understanding of interaction design principles
Knowledge of industry tools such as Sketch, InVision, Adobe InDesign, Illustrator, Zeplin and OmniGraffle; proficiency in Adobe Creative Suite strongly preferred
Business know-how: Understanding of business metrics and the ability to translate company goals and objectives into digital experiences
An interest in Graphic and Environmental Design and Experiential Activations
A desire to meet and achieve goals in a resourceful independent manner
Ability to build relationships with senior level professionals
Ability to work hands on and assist where needed
Must have clear and concise communication skills
An interest in event production / experiential marketing
The ability to work well under pressure in a fast-paced environment
Excellent communication, interpersonal and presentation skills
Effective problem solving, time management and organization skills
Intellectual curiosity
Relevant work and/or internship experience are a plus
3D design or experience with interactive technologies is a plus
What can TH Experiential offer you?
An opportunity to learn from the best what the industry has to offer with the potential for a full-time position after the internship is over
Mentoring program under talented & seasoned Operations, Design Team, + Production professionals
Daily lunch reimbursement and a monthly unlimited MetroCard (must intern at least 3 days per week to receive MetroCard)
Participate in culture events at the office including field trips to relevant design/art events
A dog-friendly workplace
Please note that this is an unpaid opportunity.",3.0,"TH Experiential
3.0","New York, NY","New York, NY",1 to 50 employees,-1,Company - Public,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1
Field Marketing Manager,$8-$14 Per Hour(Glassdoor est.),"FIELD MARKETING MANAGER

Company Overview:

Metrasens is the world’s leading provider of advanced magnetic detection technologies. Our innovative products are designed to address deficiencies in conventional screening methods, to make us all safer and more secure. Our mission is to take great science from the laboratory and use it to create revolutionary, award-winning products which meet the real needs of our customers.

Metrasens’ core technologies have an extremely wide range of potential applications. Our growth to date has been achieved through the ability of our team to clearly identify and prioritize the areas in which our technology can make the most significant impact, solving acute problems. We embody our technology in solutions that are easy to adopt and simple to use. Innovation is at the core of everything we do – from research and development, through to customer service and training. Metrasens products are already making a real impact in a range of sectors, from medical imaging departments to correctional facilities, and we’re just at the start of our journey.

Description:

The Field Marketing Manager is responsible for leading and executing marketing programs and campaigns, as well as managing the marketing relationship with the field sales teams. You will be responsible for aligning marketing goals with sales objectives and being accountable for delivering results against established budget requirements and key performance indicators. Key program areas include, but are not limited to tradeshows, content creation, email nurturing, social media management, appointment setting, and account-based marketing program management.

Roles & Responsibilities:

- Create and deliver the field marketing strategy to drive sales pipeline growth and acceleration, and ultimately revenue objectives.

- Manage components of the annual marketing budget and accurately forecast costs.

- Develop ideas and create content that is most impactful across the content lifecycle: top-of-funnel, middle-of-funnel and bottom-of-funnel.

- Manage lead nurturing programs ensuring alignment of field marketing with broader lead generation and account-based marketing programs

- Partner with field sales teams to develop region/product specific campaigns that complement broader marketing programs

- Work with field sales teams to ensure leads are being reviewed and acted on according to the lead management process.

- Manage social media channels and further develop Metrasens’ brand and content messaging

- Develop sales activation tools, including, but not limited to, sales presentations, collateral and digital sales solutions

- Efficiently manage trade shows including contracts, logistics, pre-show communications plans, on-site execution, and post-show communications plans

- Identify speaking and call for presentation opportunities associated with conferences

- Measure and report on pipeline growth and acceleration, campaign effectiveness, and ultimately ROI

Required Experience & Skills:

- Demonstrated experience in creating engaging content

- Vendor management experience, including work with external agencies

- Strong knowledge in working with CRM (Salesforce.com) and marketing automation (Pardot or other)

- Demonstrated ability to manage multiple projects effectively

- Self-starter that is eager to succeed and grow

- Strong organizational and project management skills

- Able to work both independently as well as in collaboration with others as part of a team

- Must be able to originate marketing campaigns and show strong ideation skills

- Excellent communicator, both verbal and written

- Strong marketing analytics skills and data-driven

Education:

- Bachelors’ Degree in Marketing, Communications or related field

- 5-7 years of experience in high-tech B2B marketing

Travel:

- Up to 25%, with some international travel",5.0,"Metrasens
5.0","Lisle, IL","Lisle, IL",51 to 200 employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
Jr. Level Account Executive,$8-$14 Per Hour(Glassdoor est.),"Job Description
No Experience Necessary.

The first step on the career ladder?

Climb all the way to the top when you join our busy successful sales team based in Savannah. We are looking for people for our Customer Service/Sales openings in our Sales & Marketing Company due to recent expansion and new client campaigns.

About Us:

We are a leading Sales & Marketing Company based in the Savannah and we work on developing promotional campaigns for some of the Country’s most recognizable names in our field. This is a unique opportunity for self-motivated individuals who have the affinity for working with people and working to high standards.

Successful candidates have the opportunity to be involved with:
Customer Service
Business Development
High Brand Clients
Trainee Management Program
What we offer:
Full product training
One on One Mentoring
Career Progression and Development
Travel Opportunities
What we are looking for in our new team members:
Great people skills
The ability to work as part of a team
Good communication skills
Good time management
A professional image and attitude towards customers and clients
Whatever your background, no matter what experience you do or do not have, we will consider any applicants who can prove they can work as part of a dynamic team, contributing to a fast expanding sales/customer service environment.

Send your resume via the online system, remembering to attach name number or email or else your application will not be reviewed.
Company Description
Sparks Worldwide is an outsourced experiential marketing firm. Sparks Worldwide started with five highly motivated individuals that understand the clients goals and more importantly the opportunity provided likeminded individuals work together to achieve a common goal. Since expanding here to Savannah, GA in April 2019 we’ve grown to 30+ and people and are looking to continue expanding into multiple markets through our enthusiastic ideas.",-1,Sparks Worldwide,"Richmond Hill, GA",-1,-1,-1,-1,-1,-1,-1,-1
Regional Marketing Manager- Americas,$8-$14 Per Hour(Glassdoor est.),"Responsibilities:
Works with Product Managers, SLS & R&D to build marketing campaigns and launch these campaigns globally. Measure them to ensure they grow MQLs, EV and Engagement.
Work with Digital Marketing Manager to ensure campaigns are executed digitally.
Participate in global marketing plan development to support lead goals for new product launches and critical initiatives and strategies
Manages messaging, promotion and awareness at trade show and events globally.
Cooperatively work with applications, product managers, and sales teams to understand and communicate Palls value propositions and competitive differentiation
Collaborates with cross-functional teams from creative, IT and production to product marketing and legal to produce effective promotional materials
Coordinates with and manages agency partners to drive lead gen & visibility increases while ensuring positive return on investment on marketing money spent with 3rd parties
Acquires necessary consent and shares final approval on all marketing collateral, products and promotions
Creates and maintains marketing schedule
Works with PMs & Digital Marketing Manager to plan, build and execute quarterly marketing plans
Perform other safe, legal and ethical duties crucial to achieve business goals
Adheres to all standard work, company guidelines and programs
Minimum Requirements:
Bachelor degree Life Sciences or Marketing
2-3 years experience in a marketing or sales customer facing role in the Life Sciences Industry
2 years experience planning, develop and executing customer events or marketing tactics
Can be remote from Westborough
Local and international travel required (up to 10-20%)
Diversity & Inclusion

At Danaher, we are dedicated to building and sustaining a truly diverse and inclusive culture. These are not just words on a pageDiversity and Inclusion is a top priority for the company, and it ties deeply to each of our core values. Danaher Corporation and all Danaher Companies are equal opportunity employers that evaluate applicants without regard to race, color, national origin, religion, sex, age, marital status, disability, veteran status, sexual orientation, gender identity, or other characteristics protected by law.

Danaher Corporation and all Danaher Companies are equal opportunity employers that evaluate qualified applicants without regard to race, color, national origin, religion, sex, age, marital status, disability, veteran status, sexual orientation, gender identity, or other characteristics protected by law. The EEO is the Law poster is available here.",3.5,"Pall
3.5","Westborough, MA","Port Washington, NY",10000+ employees,1946,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),"Donaldson Company, Parker Hannifin, GE"
Agriculture,$8-$14 Per Hour(Glassdoor est.),"Campus:
San Luis Obispo
Job ID:
494557
Discipline:
Agriculture

Appointment Type:
Tenure-Track
Time Base:
Full-Time

Date Posted:
January 30, 2020
Closing Date:
Open until filled
Benefits Link:
Faculty (Unit 3)
Link to Apply Online:
http://jobs.calpoly.edu/sl/en-us/listing/
Campus Employment Homepage:
http://jobs.calpoly.edu/sl/en-us/listing/
Description:
The Experience Industry Management Department in the College of Agriculture, Food and Environmental Sciences at California Polytechnic State University, San Luis Obispo, CA, invites applications for a tenure‐track, academic year position. Starting date is negotiable, but on or before September 10, 2020 is preferred. The successful candidate will be expected to teach undergraduate core courses in the Experience Industry Management Department, and be able to teach courses related to an area of expertise such as tourism experience design, destination marketing and management, experiential marketing, tourism marketing or analytics.

Additional expectations may include supervision of undergraduate senior projects, graduate student research, student advising, and teaching graduate level courses and/or in a Master of Professional Studies or certificate program. The successful candidate is expected to participate in scholarly activities (i.e., research, grant writing, publications, presentations) as part of their professional development and to contribute to the research of the Experience Innovation Lab, to be fully launched in late 2021 or early 2022. The successful candidate is also expected to provide service on committees for the department, college, and university and participate in instructional development activities. Expectations also include service to local, state, national tourism and/or destination marketing and management related professional organizations.

Ph.D. in tourism or destination marketing, experiential marketing, recreation, parks, and tourism administration, tourism and hospitality management, or a related field required prior to appointment. Applicants should have a combination of teaching, practical and/or research experience and a commitment to quality undergraduate education and a research program that involves undergraduate students. Candidates must also demonstrate an ability to initiate, complete, secure external funding, and publish research.

Must demonstrate excellence in teaching, effective communication, and interpersonal skills and be a productive team player able to interact well with peers, students, sectors of the experience industry, government agencies, and the general public. Must demonstrate commitment to diversity and inclusion.

Excellent written and oral communication skills and strong interests in undergraduate teaching are required. Candidates must also demonstrate an ability to initiate, complete, secure external funding, and publish research and be an active researcher within the Experience Innovation Lab, collaborating with cross-disciplinary faculty and industry partners.

Demonstrated experience and commitment to student-centered learning and teaching, as well as the ability to collaboratively work in multidisciplinary settings is required. Demonstrated proficiency in written and oral use of the English language is required.",4.1,"California State University
4.1","San Luis Obispo, CA","Long Beach, CA",10000+ employees,1962,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1
"Marketing Assistant - Marketing, Promotions & Sales",$8-$14 Per Hour(Glassdoor est.),"Job Description
Elite Development Enterprise is actively seeking a motivated Entry Level Marketing Assistant to work on groundbreaking campaigns with an advertising and marketing firm in the local region. This innovative firm was founded by dedicated people looking to push the envelope by using cost-effective marketing campaigns and advertising strategies. Their goal is to provide the same advertising as the standard firm but at a fraction of the price. As a progressive company in the sales and marketing industry, this firm continues to set the standard for excellence in customer acquisition and establishing a repeat customer base for clients. By providing personalized sales and marketing services to some of the largest retailers in the world, this firm continues to increase the market shares of clients through proven sales and marketing strategies.

The Entry Level Marketing Assistant position is a valued team member in the marketing and advertising department. The position is considered entry level to start during training which includes a comprehensive overview of basic marketing strategy, direct advertising, promotional techniques, visual merchandising and consumer market research. After successful completion of the program, an individual would be considered a team leads in the marketing department. The Marketing Assistant reports directly to the Executive Marketing Manager.

Responsibilities:
Assisting in the daily growth and development of assigned campaigns
Assisting with efforts of customer acquisition and retention
Expertly managing the needs of external customers
Developing strong leadership and interpersonal skills
Driving sales through retail promotional campaigns
Build brand recognition through local events and experiential marketing
Strategize, execute and manage with the Brand Ambassador teams
Interact and communicate with customers
The personalized focus of the campaigns is not only a refreshing alternative to more general mass sales and marketing strategies, but it is also responsible for the unprecedented growth and stability of the company. The management team prides themselves on recognizing top performance, integrity, and a winning mindset for continual internal promotions. If you possess a passion for marketing, sales, or retail and would enjoy learning how to manage the varying dimensions of a business, this position could be an excellent fit for the right candidate.
Must be able to work full-time hours and some weekends for special events.
Ability to excel in unsupervised solo assignments as well as team projects.
Desire to travel at least 1 or 2 weeks a year for further training.
Great communication skills
Must be able to work in an energetic, fast-paced environment.
2 or 4-year college degree in a related field
Self-starter, creative thinker, problem solver
Why work here?
Full Training
Company Paid Travel
Market Competitive Pay Structure: Weekly Bonuses and Incentives
Rapid upward mobility
Community involvement and Charitable opportunities
A fun, high energy work environment! No cubicles here, we work closely together as a team!

Company Description
Elite Development Enterprise specializes in live marketing campaigns that shine light on brands. We create solutions that spark an energy between customers and companies. Each message speaks to personal needs. Our strategy leverages research, unique channels, and talented minds. As such, we penetrate markets faster than any TV or radio spot.

Our targeted efforts have helped telecommunication businesses enjoy greater profits and faster ROIs. Each Elite Development initiative is designed to add value for customers and brands alike. We operate based on values that include integrity, innovation, and excellence. This is the hallmark of our firm’s reputation and success.",-1,Elite Development Enterprise,"Huntington Beach, CA",-1,-1,-1,-1,-1,-1,-1,-1
Senior Account Executive,$8-$14 Per Hour(Glassdoor est.),"Company Information:

Pollock Communications is a New York City-based, independent, full-service food, health, and wellness public relations agency launched in 1991. Pollock strives to create an environment with a work-life balance. Pollock's public relations and credentialed nutrition experts create innovative partnerships that link brands to health and wellness platforms. Pollock has a long history of reaching key influencers and successfully communicating the taste, health and lifestyle benefits of brands and commodity foods through traditional, social and digital media, as well as through experiential, and event marketing to businesses, consumers, retailers and healthcare professionals.

Description of role:

An Account Supervisor or Senior Account Executive is responsible for creating and leading the execution of food, health and wellness-focused public relations campaigns and media outreach. Work includes management of campaigns, media and social media outreach strategy, media crises response, and conference and exhibit planning. The Account Supervisor or Senior Account Executive must have excellent communications skills to foster collaboration and teamwork.

Benefits:
Medical
Dental
Vision
Transit
401k
Responsibilities:
Serve as a primary client contact with the proven ability to add strategic value to client interactions
Supervise and mentor entry-level and mid-level team members
Directly manage day-to-day team activities and projects
Develop, implement and execute traditional and digital marketing programs with team
Ability to stay current on digital media trends
Create and execute media relations and healthcare professional marketing programs
Develop copy and creative for program assets including mailings, print and digital advertisements, exhibits, brochures and website content
Develop, plan and manage client events, including conferences and scientific sessions
Develop and write award-winning PR programs for clients
Develop new business programs
Must have strong presentation skills
Exceptional verbal and written communication skills
Manage budgets and client invoicing
Present programs to clients
Multitask across multiple client accounts and projects under deadline
Requirements:
Bachelor's degree
4+ years of experience
Excellent communication skills
Team-oriented attitude and willingness to pitch in wherever needed
Food, wellness and CPG experience
Desire to keep learning and advance within the agency
Creativity and integrity
Strong organization, attention to detail and multi-tasking skills
An understanding of measurement and reporting, experience with reporting tools and analytics
Indeed Hire and Pollock Communications are working together to find the best candidate for this job. By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.

Job Type: Full-time

Salary: $40,000.00 to $70,000.00 /year

Experience:
Account Executive: 4 years (Required)
Supervising: 4 years (Required)
Education:
Bachelor's (Required)
Job distance:
New York, NY: Between 31 and 40 miles (Preferred)
Benefits:
None",4.0,"Pollock Communications
4.0","New York, NY","New York, NY",1 to 50 employees,2004,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1
